,RAdeg,DEdeg,Z,LOGMSTAR,LOGMSTARERR,LOGSFRSED,LOGSFRSEDERR
0,130.71875000000003,25.07027777777778,0.0173,9.722,0.017,-0.643,0.016
1,203.80541666746137,27.629722222222224,0.0255,9.531,0.033,-0.608,0.029
2,137.7745833337307,13.122499999999999,0.0297,10.169,0.02,-0.241,0.039
3,162.9516666730245,12.243055555555555,0.0219,9.065,0.089,-0.714,0.084
4,150.75916666686533,5.869444444444445,0.0215,8.604,0.079,-1.195,0.071
5,151.54583333333332,7.224999999999999,0.0223,8.949,0.055,-0.976,0.086
6,162.0441666682561,26.163055555555555,0.0123,7.995,0.059,-1.473,0.03
7,182.1716666698456,13.902222222222223,0.1075,10.24,0.062,0.558,0.013
9,207.16833333969117,5.576944444444445,0.0233,9.32,0.077,-0.533,0.065
10,198.02666666706403,5.183611111111111,0.0235,8.711,0.078,-1.045,0.042
11,206.88541666666666,14.266666666666667,0.0215,8.583,0.094,-0.801,0.117
12,207.763333333532,13.982222222222223,0.0204,8.568,0.071,-1.1,0.075
13,212.85916666984556,14.132222222222222,0.0253,9.262,0.037,-0.893,0.041
14,217.31708333492278,11.463333333333331,0.0278,8.898,0.058,-0.603,0.016
15,215.34000000158943,25.062777777777782,0.0388,9.591,0.056,0.259,0.073
16,212.61333333651226,13.718055555555555,0.0793,10.25,0.031,-0.048,0.2
17,210.55625000000003,8.090833333333334,0.0782,10.513,0.021,-1.573,0.844
18,244.2924999992053,25.167777777777776,0.0482,9.543,0.052,-0.431,0.132
19,247.58833333651225,26.775277777777777,0.0488,9.988,0.047,-0.063,0.127
20,247.8154166658719,11.531666666666665,0.0242,9.194,0.061,-0.458,0.157
21,245.22333332697553,10.5625,0.0172,8.632,0.073,-1.196,0.048
22,224.33499999841055,8.50361111111111,0.0348,9.824,0.032,-0.277,0.054
23,168.19958333969115,25.91777777777778,0.0316,9.188,0.051,-0.685,0.067
24,200.71499999364218,27.39277777777778,0.0228,9.311,0.033,-0.523,0.029
25,186.5824999968211,27.503333333333334,0.0282,8.703,0.094,-0.622,0.091
0,203.53154,34.0163,0.0948,11.059,0.017,0.291,0.154
